date,open,high,low,close,volume
2020-08-24,9819.431,9860.706,9776.376,9809.748,8201619700
2020-08-25,9839.818,9905.992,9784.302,9814.267,8072327500
2020-08-26,9806.856,9858.837,9680.518,9709.176,8640968800
2020-08-27,9730.117,9764.104,9662.179,9761.753,7016438800
2020-08-28,9763.384,9985.047,9742.864,9974.542,9058805200
2020-08-31,10027.815,10112.604,9943.999,9944.369,12133614100
2020-09-01,9919.204,9986.992,9900.087,9986.89,7909559600
2020-09-02,10026.921,10031.808,9882.224,9975.741,8680057000
2020-09-03,9975.249,10064.048,9890.78,9926.389,8197014900
2020-09-04,9781.931,9846.138,9758.763,9829.086,7016593400
2020-09-07,9811.219,9875.555,9625.316,9650.63,8363088900
2020-09-08,9684.59,9768.587,9623.266,9745.16,8552790200
2020-09-09,9630.928,9668.619,9513.14,9565.405,9930459900
2020-09-10,9650.505,9671.572,9544.256,9563.028,8925427800
2020-09-11,9540.161,9642.048,9520.196,9631.577,6439846500
2020-09-14,9683.467,9717.171,9656.121,9701.309,6072277500
2020-09-15,9694.291,9770.565,9651.353,9761.769,5728498700
2020-09-16,9754.207,9788.361,9678.86,9715.397,6141279600
2020-09-17,9687.346,9707.518,9591.857,9640.209,6030319400
2020-09-18,9646.549,9875.35,9638.96,9875.35,10119981100
2020-09-21,9914.005,9919.359,9775.735,9780.278,7807237500
2020-09-22,9698.178,9808.64,9627.748,9655.082,8095968300
2020-09-23,9665.619,9695.003,9617.746,9664.821,5763704300
2020-09-24,9612.532,9624.939,9482.545,9486.018,6745876200
2020-09-25,9530.427,9558.941,9476.323,9512.042,5900903500
2020-09-28,9531.468,9607.044,9520.938,9549.873,5257530500
2020-09-29,9600.406,9604.284,9540.586,9542.301,5063560200
2020-09-30,9569.543,9618.431,9473.623,9520.336,5519379800
2020-10-09,9666.244,9710.211,9645.665,9681.023,6205574300
2020-10-12,9730.131,9973.069,9726.194,9971.82,9595626100
2020-10-13,9950.081,9979.658,9892.864,9968.318,6878943600
2020-10-14,9947.894,9947.894,9886.014,9908.578,6188532400
2020-10-15,9914.229,9963.012,9881.157,9892.224,6387680400
2020-10-16,9903.37,9958.453,9855.938,9901.349,7362195500
2020-10-19,9957.345,10033.509,9807.427,9821.918,8613471600
2020-10-20,9808.895,9866.02,9779.113,9864.795,5840655100
2020-10-21,9884.964,9891.45,9812.099,9884.731,6473331000
2020-10-22,9863.991,9890.88,9754.824,9863.648,5936871300
2020-10-23,9847.608,9923.468,9781.272,9781.272,6908877300
